Location,OriginalTweet,ScreenName,Sentiment,TweetAt,UserName,annotation_id,annotator,created_at,id,lead_time,table_value_1,updated_at,AutoLabel
On your mobile,"#4. CPG and Retail
Major retailers in China like Starbucks, Uniqlo, Nike and #Apple had temporarily shuttered their store
Sellers on Amazon's marketplace are reportedly struggling to bring goods into the country
#Coronavirus infects luxury spending at #LouisVuitton, Ralph Lauren",45111,Positive,11-03-2020,159,32.0,1.0,2024-10-01T12:13:52.921258Z,382.0,66.951,123.0,2024-10-01T12:18:00.709741Z,
LA | NY,If you thought the lines at the grocery store are long... good morning from Los Angeles ? https://t.co/NudGqwW4I2,47263,Positive,14-03-2020,2311,33.0,1.0,2024-10-01T12:16:03.039745Z,383.0,1.213,,2024-10-01T12:16:03.039745Z,
,Consumers have increased their online shopping due to coronavirus. https://t.co/5mYfz3RAD0 #retail #ecommerce #study #coronavirus https://t.co/Dz3H6zrWUT,45017,Positive,10-03-2020,65,34.0,1.0,2024-10-01T12:16:04.935350Z,384.0,0.823,,2024-10-01T12:16:04.935350Z,
"London, England","Businesses with existing logistics and delivery operations can either exploit the oppertunity or support the consumer.
What approach will your business take?
#coronavirus",47592,Positive,14-03-2020,2640,35.0,1.0,2024-10-01T12:16:06.815898Z,385.0,0.896,,2024-10-01T12:16:06.815898Z,
Toronto,Live feed from every grocery store. #Covid_19 https://t.co/R6jvhDKgvP,45403,Neutral,12-03-2020,451,36.0,1.0,2024-10-01T12:16:08.556877Z,386.0,0.846,,2024-10-01T12:16:08.556877Z,
,"#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.",44966,Extremely Positive,04-03-2020,14,37.0,1.0,2024-10-01T12:16:10.887316Z,387.0,1.395,,2024-10-01T12:16:10.887316Z,
"Wroc?aw, Polska","Is #Poland getting crazy and everyone thinks that @MorawieckiM will close every grocery store in coming days? I thought that the panic is a viral joke, yet I saw today its not. #Covid_19",45898,Negative,12-03-2020,946,38.0,1.0,2024-10-01T12:16:12.471861Z,388.0,0.624,,2024-10-01T12:16:12.471861Z,
"Carson, CA","Social distancing may help reduce the coronavirus crisis, but it also threatens to wreck small businesses.
Shopping local, online &amp; off.
Take advantage of discounts.
Order in. 
Tip a little more than usual.

#CeemiAgency #smallbusinesssupport #coronavirus2020 #coronavirus https://t.co/Ri4cd2RdpS",48552,Extremely Negative,16-03-2020,3600,39.0,1.0,2024-10-01T12:16:14.105569Z,389.0,0.62,,2024-10-01T12:16:14.105569Z,
,"Alright yall serious questions. 

With this whole #coronavirus #Covid_19 outbreak, it will affect the economy in some bad ways, especially with local shops/business owners.

Do yall think property owners will lower rent or lease prices since business is not doing well?",46235,Extremely Negative,13-03-2020,1283,40.0,1.0,2024-10-01T12:16:15.635008Z,390.0,0.574,,2024-10-01T12:16:15.635008Z,
"Ithaca, NY","@Cornell_Library An online grocery shopping platform is helping locals get food during the COVID-19 outbreak.
https://t.co/E7ykocM6Tq",48211,Positive,15-03-2020,3259,41.0,1.0,2024-10-01T12:16:17.320286Z,391.0,0.784,,2024-10-01T12:16:17.320286Z,
,Headed into the grocery store. Wish me luck #COVID2019,47532,Extremely Positive,14-03-2020,2580,42.0,1.0,2024-10-01T12:16:19.197958Z,392.0,1.091,,2024-10-01T12:16:19.197958Z,
Gh,"Right now even wholesalers dont have stocks of hand sanitizers and nosemasks. The few ones that do are also selling them almost 5 times the normal prices. 
 #CoronaOutbreak #Covid_19",46539,Positive,13-03-2020,1587,43.0,1.0,2024-10-01T12:16:21.846467Z,393.0,0.884,,2024-10-01T12:16:21.846467Z,
,The number of companies taking advantage of the COVID-19 outbreak is sad. The emails Im getting prompting online shopping and continuing to make people work to distribute these products is ridiculous,47905,Negative,15-03-2020,2953,44.0,1.0,2024-10-01T12:16:23.773446Z,394.0,0.916,,2024-10-01T12:16:23.773446Z,
"Washington, DC","6. Despite an outbreak within its own workforce, @kroger will still not provide paid sick leave. Instead, it will provide two weeks paid sick leave ONLY to employees that: 1. Test positive for COVID-19, and 2. Are formally ordered to be quarantined

https://t.co/19uNybttHl",48053,Extremely Positive,15-03-2020,3101,45.0,1.0,2024-10-01T12:16:25.692099Z,395.0,0.818,,2024-10-01T12:16:25.692099Z,
