"Location","OriginalTweet","ScreenName","Sentiment","TweetAt","UserName","annotation_id","annotator","created_at","id","lead_time","table_value_1","updated_at"
"On your mobile","#4. CPG and Retail
Major retailers in China like Starbucks, Uniqlo, Nike and #Apple had temporarily shuttered their store
Sellers on Amazon's marketplace are reportedly struggling to bring goods into the country
#Coronavirus infects luxury spending at #LouisVuitton, Ralph Lauren",45111,"Positive","11-03-2020",159,32,"1","2024-10-01T12:13:52.921258Z",382,66.951,"123","2024-10-01T12:18:00.709741Z"
"LA | NY","If you thought the lines at the grocery store are long... good morning from Los Angeles ? https://t.co/NudGqwW4I2",47263,"Positive","14-03-2020",2311,33,"1","2024-10-01T12:16:03.039745Z",383,1.213,"","2024-10-01T12:16:03.039745Z"
"","Consumers have increased their online shopping due to coronavirus. https://t.co/5mYfz3RAD0 #retail #ecommerce #study #coronavirus https://t.co/Dz3H6zrWUT",45017,"Positive","10-03-2020",65,34,"1","2024-10-01T12:16:04.935350Z",384,0.823,"","2024-10-01T12:16:04.935350Z"
"London, England","Businesses with existing logistics and delivery operations can either exploit the oppertunity or support the consumer.
What approach will your business take?
#coronavirus",47592,"Positive","14-03-2020",2640,35,"1","2024-10-01T12:16:06.815898Z",385,0.896,"","2024-10-01T12:16:06.815898Z"
"Toronto","Live feed from every grocery store. #Covid_19 https://t.co/R6jvhDKgvP",45403,"Neutral","12-03-2020",451,36,"1","2024-10-01T12:16:08.556877Z",386,0.846,"","2024-10-01T12:16:08.556877Z"
"","#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.",44966,"Extremely Positive","04-03-2020",14,37,"1","2024-10-01T12:16:10.887316Z",387,1.395,"","2024-10-01T12:16:10.887316Z"
"Wroc?aw, Polska","Is #Poland getting crazy and everyone thinks that @MorawieckiM will close every grocery store in coming days? I thought that the panic is a viral joke, yet I saw today its not. #Covid_19",45898,"Negative","12-03-2020",946,38,"1","2024-10-01T12:16:12.471861Z",388,0.624,"","2024-10-01T12:16:12.471861Z"
"Carson, CA","Social distancing may help reduce the coronavirus crisis, but it also threatens to wreck small businesses.
Shopping local, online &amp; off.
Take advantage of discounts.
Order in. 
Tip a little more than usual.

#CeemiAgency #smallbusinesssupport #coronavirus2020 #coronavirus https://t.co/Ri4cd2RdpS",48552,"Extremely Negative","16-03-2020",3600,39,"1","2024-10-01T12:16:14.105569Z",389,0.62,"","2024-10-01T12:16:14.105569Z"
"","Alright yall serious questions. 

With this whole #coronavirus #Covid_19 outbreak, it will affect the economy in some bad ways, especially with local shops/business owners.

Do yall think property owners will lower rent or lease prices since business is not doing well?",46235,"Extremely Negative","13-03-2020",1283,40,"1","2024-10-01T12:16:15.635008Z",390,0.574,"","2024-10-01T12:16:15.635008Z"
"Ithaca, NY","@Cornell_Library An online grocery shopping platform is helping locals get food during the COVID-19 outbreak.
https://t.co/E7ykocM6Tq",48211,"Positive","15-03-2020",3259,41,"1","2024-10-01T12:16:17.320286Z",391,0.784,"","2024-10-01T12:16:17.320286Z"
"","Headed into the grocery store. Wish me luck #COVID2019",47532,"Extremely Positive","14-03-2020",2580,42,"1","2024-10-01T12:16:19.197958Z",392,1.091,"","2024-10-01T12:16:19.197958Z"
"Gh","Right now even wholesalers dont have stocks of hand sanitizers and nosemasks. The few ones that do are also selling them almost 5 times the normal prices. 
 #CoronaOutbreak #Covid_19",46539,"Positive","13-03-2020",1587,43,"1","2024-10-01T12:16:21.846467Z",393,0.884,"","2024-10-01T12:16:21.846467Z"
"","The number of companies taking advantage of the COVID-19 outbreak is sad. The emails Im getting prompting online shopping and continuing to make people work to distribute these products is ridiculous",47905,"Negative","15-03-2020",2953,44,"1","2024-10-01T12:16:23.773446Z",394,0.916,"","2024-10-01T12:16:23.773446Z"
"Washington, DC","6. Despite an outbreak within its own workforce, @kroger will still not provide paid sick leave. Instead, it will provide two weeks paid sick leave ONLY to employees that: 1. Test positive for COVID-19, and 2. Are formally ordered to be quarantined

https://t.co/19uNybttHl",48053,"Extremely Positive","15-03-2020",3101,45,"1","2024-10-01T12:16:25.692099Z",395,0.818,"","2024-10-01T12:16:25.692099Z"
"Wales, United Kingdom","Ok if #COVID2019 is nothing to panic about why is Italy imposing the biggest restrictions on the civilian population since WW2? 
How will the supermarkets be able to provide food if all the workers are told to stay at home? 
Same with any other Bussiness.",45019,"Positive","10-03-2020",67,46,"1","2024-10-01T12:16:27.537196Z",396,0.794,"","2024-10-01T12:16:27.537196Z"
"","Dont forget to stock up on extra food for your babies during this time!!! #Covid_19 #CoronaAlert #CoronaOutbreak #Corona https://t.co/6roxWPIcft",46503,"Negative","13-03-2020",1551,47,"1","2024-10-01T12:16:29.573134Z",397,0.961,"","2024-10-01T12:16:29.573134Z"
"Parts Unknown","The scary part is, I'm just some random guy. I'm pretty sure there are entities 1000x higher on the food chain that are offering solutions. Why is there still panic and misinformation?

#QuarentineLife #coronavirus",48427,"Negative","16-03-2020",3475,48,"1","2024-10-01T12:16:31.154257Z",398,0.613,"","2024-10-01T12:16:31.154257Z"
"","Im not discounting the danger for some while attending a sporting event, but tell me why its ok for me to continue going to work at a grocery store where thousands of customers come and go on a daily basis carrying an unknown amount of sicknesses or the #coronavirus https://t.co/zNhWEM7K6p",45216,"Positive","11-03-2020",264,49,"1","2024-10-01T12:16:33.943650Z",399,0.753,"","2024-10-01T12:16:33.943650Z"
"United States","This #Covid_19 is scary and confusing. Schools are closing in my area now. Grocery store shelves are empty. Not sure what I should do so just staying in and hoping I dont run out of #toiletpaper #CoronavirusPandemic",46053,"Extremely Negative","13-03-2020",1101,50,"1","2024-10-01T12:16:35.656396Z",400,0.861,"","2024-10-01T12:16:35.656396Z"
"Philadelphia","I woke up early to make two different meal plans: regular and meatless. I have no clue what the status of the grocery store will look like today. ???? #Covid_19",46016,"Positive","13-03-2020",1064,51,"1","2024-10-01T12:16:37.432870Z",401,0.768,"","2024-10-01T12:16:37.432870Z"
"Holland Landing, ON","@Amy_Siskind Also remember your local Food Bank. Not everyone is able to afford the reassurance of a well stocked pantry. When you stock up, grab a couple of items for your local Food Bank. #FoodInsecurity #Covid_19  #BeKind",47475,"Positive","14-03-2020",2523,52,"1","2024-10-01T12:16:39.415892Z",402,1.077,"","2024-10-01T12:16:39.415892Z"
"USA | she/her ?????","Be kind to employees at the grocery store by thanking them for working tirelessly at the registers and restocking inventory in the aisles. It makes a big difference in their day when they feel appreciated.?? #Covid_19",46459,"Extremely Positive","13-03-2020",1507,53,"1","2024-10-01T12:16:41.491751Z",403,0.931,"","2024-10-01T12:16:41.491751Z"
"","When herd mentality makes you want to stockpile unnecessarily, bear in mind the only pasta left on the supermarket shelves this morning is Italian, this is how ill-informed ppl are about #Covid_19.  Take a beat,  check out the @CDCgov website and #buyItalian ? ?",47123,"Negative","13-03-2020",2171,54,"1","2024-10-01T12:16:43.360535Z",404,0.822,"","2024-10-01T12:16:43.360535Z"
"Sarasota, FL","JUST CLOSE IT Nike announced it will temporarily close all US retail store on Monday to prevent the possible spread of COVID 19 DETAILS",47898,"Neutral","15-03-2020",2946,55,"1","2024-10-01T12:16:45.949039Z",405,1.412,"","2024-10-01T12:16:45.949039Z"
"Baku","What's positive about Corona virus:
- helping to fight climate crisis
- stock markets are disrupted
- oil prices are getting lower
- flights cancelled
- more family gatherings
- works can be done via emails and from home
- distance education is working

Comrade #Covid_19 ?",45836,"Extremely Negative","12-03-2020",884,56,"1","2024-10-01T12:16:47.919624Z",406,1.09,"","2024-10-01T12:16:47.919624Z"
"Cincinnati, OH","Our chief economist @Alex_Carrick says the #coronavirus is wreaking havoc on Canadas economy, particularly its energy sector. https://t.co/6y1SS7r5nK #COVID19",46201,"Negative","13-03-2020",1249,57,"1","2024-10-01T12:16:49.574730Z",407,0.583,"","2024-10-01T12:16:49.574730Z"
"British Columbia, Canada","@CNBC Lowering interest rates can not kill the #coronavirus, but it may increase food and drug prices.  It could be even worse.  
Fluctuations in stock prices leave the market to decide.  People have only once life, the Fed needs to focus more on saving",48219,"Positive","15-03-2020",3267,58,"1","2024-10-01T12:16:53.821836Z",408,1.281,"","2024-10-01T12:16:53.821836Z"
"New York City & Florida","Today, I talk US #retail store closings due to #coronavirus &amp; what it means for #USGDP #economy.  I look at #DJIA &amp; #VIX . I give my two cents on what to do ahead of/early on in  a #recession.  #https://www.youtube.com/channel/UCbzNB63EBA8iMg2CEsAzgoQ",48417,"Neutral","16-03-2020",3465,59,"1","2024-10-01T12:16:55.654377Z",409,0.72,"","2024-10-01T12:16:55.654377Z"
"","Dear big supermarkets with more demand and extra cash on your bottom line can you pledge not only to make food banks more visible in your stores but also to significantly increase your own donations We all need to work together on this",48364,"Positive","16-03-2020",3412,60,"1","2024-10-01T12:16:57.346043Z",410,0.783,"","2024-10-01T12:16:57.346043Z"
"North Carolina","Coronavirus, COVID-19, oil price drop will lead to US recession - Business Insider https://t.co/A7hsqwQDOe",45046,"Negative","10-03-2020",94,61,"1","2024-10-01T12:16:59.359536Z",411,1.074,"","2024-10-01T12:16:59.359536Z"
"Gurgaon","Consumer goods flying off the shelves due to #COVID2019.",48408,"Neutral","16-03-2020",3456,62,"1","2024-10-01T12:17:01.430512Z",412,1.128,"","2024-10-01T12:17:01.430512Z"
"Pennsylvania, USA","Working at a retail store with all this #coronavirus hitting in my county really makes me wonder..",45508,"Neutral","12-03-2020",556,63,"1","2024-10-01T12:17:03.279155Z",413,0.979,"","2024-10-01T12:17:03.279155Z"
"Wichita, KS","My last day of consumer lending training better not get cancelled tomorrow. #Covid_19",46991,"Positive","13-03-2020",2039,64,"1","2024-10-01T12:17:05.464441Z",414,1.267,"","2024-10-01T12:17:05.464441Z"
"","About to head to the grocery store(because I do every Friday and actually need stuff) and I'm kinda scared.  #Covid_19",45920,"Negative","13-03-2020",968,65,"1","2024-10-01T12:17:07.214206Z",415,0.942,"","2024-10-01T12:17:07.214206Z"
"San Francisco, St. Paul","""Current estimates suggest COVID-19 is 20-30X more deadly than seasonal influenza"" via Kayli Hiban blog @CDDEP https://t.co/JBB6FAVRMX",48607,"Neutral","16-03-2020",3655,66,"1","2024-10-01T12:17:09.769832Z",416,1.631,"","2024-10-01T12:17:09.769832Z"
"Sudbury, Ontario","The line up at my grocery store went all the way around 3 walls. I was just doing my normal groceries, and there was no bread or toilet paper. Theres barely any meat. The frozen food shave been raided. Its like this all@over town. Theres been a single case here. #coronavirus",47103,"Positive","13-03-2020",2151,67,"1","2024-10-01T12:17:11.885709Z",417,1.1,"","2024-10-01T12:17:11.885709Z"
"Toronto","Just went to the the grocery store (Highland Farms) and there is still quite a bit of food. No toilet paper or cleaning supplies but at least I wont starve. 

#coronavirus #covid19Canada #Toronto",46299,"Positive","13-03-2020",1347,68,"1","2024-10-01T12:17:13.812368Z",418,1.034,"","2024-10-01T12:17:13.812368Z"
"","At my local grocery store in New Hampshire... #coronavirus #Covid_19 #NationalEmergency https://t.co/AXuMBSfNU9",46023,"Neutral","13-03-2020",1071,69,"1","2024-10-01T12:17:16.981023Z",419,1.584,"","2024-10-01T12:17:16.981023Z"
